Fishbank,0x37c7d59a4f5af2dbd9bdf822aeed0ce08c6e0b62,4282,Exception State,Low,_function_0x70cd22ae,4282,110,968,873
Fishbank,0x37c7d59a4f5af2dbd9bdf822aeed0ce08c6e0b62,4810,Exception State,Low,"[many_msg_babbage(bytes1), transfer(address,uint256)] (ambiguous)",4810,110,1144,1049
Fishbank,0x37c7d59a4f5af2dbd9bdf822aeed0ce08c6e0b62,5225,Exception State,Low,getBoosterDuration(uint256),5225,110,1172,1077
Fishbank,0x96e666c387B1d25B490A33CDB5a32b8A1F91D3B6,1722,Exception State,Low,"approve(address,uint256)",1722,110,723,628
Fishbank,0x96e666c387B1d25B490A33CDB5a32b8A1F91D3B6,2386,Exception State,Low,_function_0x36541cc5,2386,110,814,719
Fishbank,0x96e666c387B1d25B490A33CDB5a32b8A1F91D3B6,2582,Exception State,Low,ownerOf(uint256),2582,110,839,744
Fishbank,0x96e666c387B1d25B490A33CDB5a32b8A1F91D3B6,2852,Exception State,Low,convertChest(uint256),2852,110,2021,1073
Fishbank,0x96e666c387B1d25B490A33CDB5a32b8A1F91D3B6,9037,Exception State,Low,"[many_msg_babbage(bytes1), transfer(address,uint256)] (ambiguous)",9037,110,1012,917
Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,4858,Exception State,Low,buyChest(uint16),4858,110,1503,460
Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,6269,Exception State,Low,"approve(address,uint256)",6269,110,855,760
Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,7083,Exception State,Low,_function_0x16709c22,7083,110,902,807
Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,7815,Exception State,Low,_function_0x3fc83dc9,7815,110,656,561
Fishbank,0xe8bbf054b788c98d9993be5513254d6b64a1ba97,8179,Exception State,Low,"applyBooster(uint256,uint256)",8179,110,1141,1046
Fishbank,0xb0e674508eb1409b93a49a265f051bbf327eb5d9,1086,Multiple Calls in a Single Transaction,Medium,buyAuction(uint256),1086,113,302368,41311
Fishbank,0xb0e674508eb1409b93a49a265f051bbf327eb5d9,2748,External Call To Fixed Address,Low,saveToken(uint256),2748,107,4624,2688
Fishbank,0xb0e674508eb1409b93a49a265f051bbf327eb5d9,3455,External Call To Fixed Address,Low,"startAuction(uint256,uint256,uint256)",3455,107,3689,1940
Fishbank,0xb0e674508eb1409b93a49a265f051bbf327eb5d9,3700,Integer Overflow,High,"startAuction(uint256,uint256,uint256)",3700,101,195899,36698
Fishbank,0xb0e674508eb1409b93a49a265f051bbf327eb5d9,4979,External Call To Fixed Address,Low,buyAuction(uint256),4979,107,111486,6662
Fishbank,0x989af9516c7466fff588121059c7f069a2f5bb49,1086,Multiple Calls in a Single Transaction,Medium,buyAuction(uint256),1086,113,302368,41311
Fishbank,0x989af9516c7466fff588121059c7f069a2f5bb49,2748,External Call To Fixed Address,Low,saveToken(uint256),2748,107,4624,2688
Fishbank,0x989af9516c7466fff588121059c7f069a2f5bb49,3455,External Call To Fixed Address,Low,"startAuction(uint256,uint256,uint256)",3455,107,3689,1940
Fishbank,0x989af9516c7466fff588121059c7f069a2f5bb49,3700,Integer Overflow,High,"startAuction(uint256,uint256,uint256)",3700,101,195899,36698
Fishbank,0x989af9516c7466fff588121059c7f069a2f5bb49,4979,External Call To Fixed Address,Low,buyAuction(uint256),4979,107,111486,6662
Fishbank,0xee327625634e35a03Bc1F64deD8Ed2a061BA0978,1086,Multiple Calls in a Single Transaction,Medium,buyAuction(uint256),1086,113,302368,41311
Fishbank,0xee327625634e35a03Bc1F64deD8Ed2a061BA0978,2748,External Call To Fixed Address,Low,saveToken(uint256),2748,107,4624,2688
Fishbank,0xee327625634e35a03Bc1F64deD8Ed2a061BA0978,3455,External Call To Fixed Address,Low,"startAuction(uint256,uint256,uint256)",3455,107,3689,1940
Fishbank,0xee327625634e35a03Bc1F64deD8Ed2a061BA0978,3700,Integer Overflow,High,"startAuction(uint256,uint256,uint256)",3700,101,195899,36698
Fishbank,0xee327625634e35a03Bc1F64deD8Ed2a061BA0978,4979,External Call To Fixed Address,Low,buyAuction(uint256),4979,107,111486,6662
Fishbank,0xe3f4383c19dbe7436261e63dd811e43dbed29890,1086,Multiple Calls in a Single Transaction,Medium,buyAuction(uint256),1086,113,302368,41311
Fishbank,0xe3f4383c19dbe7436261e63dd811e43dbed29890,2748,External Call To Fixed Address,Low,saveToken(uint256),2748,107,4624,2688
